epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8409,0.64229,1.34612,1.15576,0.4556,0.5557,0.44007,0.30514,1.00092,1.81171,1.59801,0.000332317,0.000332317,0.0671006
2,119.735,0.61503,1.15078,1.13545,0.57616,0.60424,0.62494,0.43579,0.97239,1.42674,1.52451,0.000665537,0.000665537,0.0341005
3,176.927,0.602,1.08078,1.13089,0.59449,0.62829,0.66302,0.47966,0.9195,1.3963,1.40783,0.000998306,0.000998306,0.00109993
4,233.32,0.5709,1.03037,1.10699,0.61768,0.62649,0.64688,0.4452,0.95673,1.50017,1.47327,0.000998474,0.000998474,0.000998474
5,290.53,0.54323,0.97509,1.09445,0.65007,0.69597,0.73969,0.52231,1.00212,1.28345,1.48926,0.000997288,0.000997288,0.000997288
6,347.93,0.52938,0.93948,1.07891,0.69441,0.69454,0.74973,0.57839,0.80067,1.11752,1.28755,0.000995765,0.000995765,0.000995765
7,405.576,0.50863,0.88975,1.06925,0.75678,0.75662,0.80264,0.63253,0.71701,0.96403,1.2198,0.000993906,0.000993906,0.000993906
8,463.121,0.49523,0.87568,1.06523,0.716,0.72076,0.76893,0.50668,1.06163,1.06054,1.62451,0.000991711,0.000991711,0.000991711
9,519.973,0.47994,0.83851,1.05343,0.78102,0.76338,0.84075,0.64257,0.79654,0.91163,1.29166,0.000989183,0.000989183,0.000989183
10,576.809,0.47805,0.81002,1.04806,0.8043,0.80868,0.875,0.69593,0.72055,0.82008,1.21991,0.000986323,0.000986323,0.000986323
11,634.037,0.46612,0.79017,1.04516,0.70398,0.79675,0.84547,0.69718,0.65444,0.9115,1.14654,0.000983133,0.000983133,0.000983133
12,691.144,0.44609,0.76846,1.03229,0.86153,0.83061,0.90019,0.75603,0.63112,0.68213,1.11423,0.000979616,0.000979616,0.000979616
13,748.461,0.44991,0.7682,1.03604,0.86167,0.83014,0.89352,0.729,0.66316,0.70541,1.15664,0.000975773,0.000975773,0.000975773
14,805.72,0.43976,0.72725,1.02769,0.7982,0.83265,0.89946,0.74586,0.61756,0.72688,1.11389,0.000971608,0.000971608,0.000971608
15,862.554,0.44059,0.73263,1.03258,0.77817,0.81468,0.84928,0.6984,0.65379,0.81364,1.15777,0.000967122,0.000967122,0.000967122
16,918.961,0.43304,0.70997,1.02529,0.90609,0.82495,0.92141,0.76476,0.64064,0.65802,1.12075,0.00096232,0.00096232,0.00096232
17,975.574,0.42236,0.6743,1.01967,0.85671,0.83408,0.91747,0.74157,0.66668,0.73269,1.11982,0.000957205,0.000957205,0.000957205
18,1032.29,0.41964,0.67439,1.01518,0.83395,0.84459,0.8998,0.75571,0.61956,0.672,1.10802,0.00095178,0.00095178,0.00095178
19,1088.77,0.42051,0.67061,1.01791,0.84067,0.82713,0.89613,0.75052,0.61434,0.70819,1.09498,0.000946048,0.000946048,0.000946048
20,1145.14,0.41082,0.65089,1.01137,0.8591,0.85929,0.92604,0.78665,0.62652,0.63357,1.12961,0.000940014,0.000940014,0.000940014
