epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.711,0.75254,1.60958,1.24353,0.36089,0.52215,0.42459,0.27934,1.25834,1.98659,1.70719,0.00033291,0.00033291,0.0670419
2,279.281,0.72677,1.38387,1.22498,0.37682,0.5019,0.40393,0.27342,1.108,2.07583,1.60746,0.00066613,0.00066613,0.0340418
3,413.338,0.69341,1.28497,1.20531,0.54232,0.59381,0.58152,0.41244,0.98165,1.51771,1.56434,0.000998898,0.000998898,0.00104125
4,546.389,0.67792,1.21294,1.19883,0.59151,0.7031,0.70929,0.55253,0.80157,1.22566,1.31201,0.000998474,0.000998474,0.000998474
5,677.941,0.63204,1.14422,1.16597,0.67915,0.65703,0.71304,0.535,0.86839,1.18668,1.36568,0.000997288,0.000997288,0.000997288
6,808.854,0.60948,1.0995,1.14902,0.72149,0.6809,0.76304,0.5906,0.79523,1.0339,1.30215,0.000995765,0.000995765,0.000995765
7,939.832,0.58398,1.05333,1.138,0.66314,0.74152,0.7524,0.57797,0.80942,1.10513,1.30586,0.000993906,0.000993906,0.000993906
8,1068.31,0.57174,1.02421,1.12317,0.69746,0.7201,0.77187,0.62457,0.73268,0.97611,1.23278,0.000991711,0.000991711,0.000991711
9,1196.42,0.56467,0.98231,1.11926,0.7171,0.70437,0.77822,0.61369,0.76499,1.03898,1.28546,0.000989183,0.000989183,0.000989183
10,1324.5,0.55962,0.98297,1.11976,0.75384,0.71694,0.81015,0.63305,0.73504,0.93751,1.20904,0.000986323,0.000986323,0.000986323
11,1452.72,0.5411,0.9526,1.10669,0.71374,0.75051,0.80506,0.63135,0.75601,0.94796,1.27397,0.000983133,0.000983133,0.000983133
12,1580.49,0.53385,0.92012,1.10344,0.80345,0.76232,0.84187,0.67782,0.69558,0.86322,1.20193,0.000979616,0.000979616,0.000979616
13,1709.22,0.52185,0.89933,1.09461,0.791,0.78752,0.84812,0.68756,0.70017,0.82907,1.20233,0.000975773,0.000975773,0.000975773
14,1840.36,0.52141,0.89083,1.09758,0.83266,0.76429,0.86386,0.70662,0.67044,0.82824,1.16435,0.000971608,0.000971608,0.000971608
15,1971.57,0.51271,0.8674,1.08989,0.78238,0.78275,0.84857,0.68494,0.68551,0.86532,1.18353,0.000967122,0.000967122,0.000967122
16,2102.97,0.50466,0.8411,1.08288,0.83497,0.77699,0.87134,0.70802,0.7059,0.8208,1.21046,0.00096232,0.00096232,0.00096232
17,2234.08,0.49143,0.8263,1.07322,0.8481,0.78608,0.86527,0.70294,0.70686,0.77539,1.20702,0.000957205,0.000957205,0.000957205
18,2365.08,0.49904,0.81344,1.07912,0.83656,0.78852,0.86391,0.71598,0.65327,0.75062,1.14084,0.00095178,0.00095178,0.00095178
19,2495.8,0.49293,0.81677,1.07208,0.80386,0.81158,0.87878,0.7189,0.68041,0.74151,1.17208,0.000946048,0.000946048,0.000946048
20,2623.76,0.4846,0.78605,1.07154,0.87385,0.77899,0.88116,0.73729,0.62459,0.71044,1.11922,0.000940014,0.000940014,0.000940014
21,2751.68,0.4783,0.76747,1.06831,0.86058,0.78796,0.87805,0.72313,0.66204,0.73961,1.14667,0.000933683,0.000933683,0.000933683
22,2879.78,0.47349,0.76201,1.06371,0.84509,0.78971,0.86818,0.71872,0.65185,0.76316,1.15166,0.000927057,0.000927057,0.000927057
23,3007.77,0.4689,0.74162,1.05753,0.85042,0.76921,0.863,0.71221,0.65299,0.76927,1.13711,0.000920142,0.000920142,0.000920142
24,3135.38,0.46547,0.74116,1.05992,0.86318,0.81276,0.88622,0.74749,0.60848,0.71882,1.09289,0.000912942,0.000912942,0.000912942
25,3264.54,0.46657,0.73723,1.0632,0.84757,0.77613,0.87409,0.73392,0.61878,0.71347,1.109,0.000905463,0.000905463,0.000905463
26,3395.59,0.45411,0.71785,1.05404,0.88679,0.83813,0.90143,0.76253,0.62529,0.66034,1.1112,0.00089771,0.00089771,0.00089771
27,3526.51,0.45589,0.71051,1.05174,0.86711,0.84516,0.89589,0.7576,0.6065,0.65386,1.09308,0.000889687,0.000889687,0.000889687
28,3657.56,0.44571,0.69821,1.04701,0.84812,0.82621,0.88554,0.74846,0.61145,0.69875,1.10203,0.000881401,0.000881401,0.000881401
29,3788.89,0.45376,0.69533,1.05167,0.87624,0.82364,0.88518,0.74982,0.59586,0.65061,1.08128,0.000872857,0.000872857,0.000872857
30,3920.41,0.44753,0.66588,1.0427,0.85355,0.8423,0.89927,0.76857,0.61973,0.63828,1.10386,0.00086406,0.00086406,0.00086406
31,4051.39,0.44304,0.66668,1.04393,0.87588,0.83074,0.89297,0.76114,0.6156,0.65433,1.09669,0.000855018,0.000855018,0.000855018
32,4180.21,0.43763,0.65314,1.04081,0.85599,0.85473,0.90028,0.77837,0.57589,0.61621,1.06466,0.000845736,0.000845736,0.000845736
33,4308.63,0.43846,0.64696,1.04193,0.87765,0.84607,0.90379,0.77353,0.58725,0.6221,1.07948,0.00083622,0.00083622,0.00083622
34,4437.12,0.44335,0.65795,1.04459,0.85117,0.86504,0.90158,0.76664,0.59729,0.61742,1.08805,0.000826477,0.000826477,0.000826477
35,4565.54,0.42611,0.63695,1.03127,0.88696,0.85751,0.90553,0.77666,0.59287,0.60884,1.07662,0.000816514,0.000816514,0.000816514
36,4694.31,0.42164,0.6165,1.02533,0.895,0.8472,0.90299,0.76849,0.5902,0.59812,1.08489,0.000806337,0.000806337,0.000806337
37,4824.45,0.42378,0.60325,1.03108,0.86986,0.85899,0.90766,0.77034,0.59865,0.60613,1.08167,0.000795954,0.000795954,0.000795954
38,4956.3,0.42052,0.60606,1.02975,0.89631,0.85397,0.90734,0.77004,0.59995,0.60387,1.08532,0.000785371,0.000785371,0.000785371
39,5088.01,0.41791,0.60241,1.02745,0.88042,0.86346,0.91032,0.79038,0.56125,0.60088,1.03637,0.000774596,0.000774596,0.000774596
40,5220.11,0.41636,0.59192,1.02669,0.91348,0.85641,0.91372,0.78936,0.57013,0.59021,1.04385,0.000763637,0.000763637,0.000763637
41,5352.15,0.4158,0.5883,1.02509,0.91798,0.85044,0.91466,0.78984,0.5749,0.57083,1.05204,0.0007525,0.0007525,0.0007525
42,5484.07,0.40998,0.57415,1.01834,0.9067,0.85128,0.91114,0.78611,0.57182,0.56513,1.05047,0.000741194,0.000741194,0.000741194
43,5615,0.40523,0.5689,1.01523,0.90661,0.86837,0.91452,0.7928,0.55714,0.57908,1.0433,0.000729725,0.000729725,0.000729725
44,5744.7,0.40071,0.56394,1.01531,0.92996,0.8514,0.92125,0.7891,0.58999,0.57044,1.08644,0.000718103,0.000718103,0.000718103
45,5874.55,0.40079,0.55222,1.01947,0.88584,0.88268,0.91806,0.79631,0.56854,0.55663,1.04172,0.000706335,0.000706335,0.000706335
46,6003.75,0.40141,0.54813,1.01445,0.86618,0.86763,0.91365,0.78717,0.56991,0.57264,1.04168,0.000694428,0.000694428,0.000694428
47,6133.21,0.39882,0.53916,1.01412,0.91454,0.86601,0.91433,0.78991,0.5712,0.55619,1.04895,0.000682392,0.000682392,0.000682392
48,6262.66,0.39754,0.53775,1.01177,0.89583,0.86314,0.91175,0.7925,0.57049,0.55841,1.05857,0.000670234,0.000670234,0.000670234
49,6394.5,0.38871,0.5313,1.00599,0.91973,0.86256,0.91697,0.78708,0.57124,0.55131,1.05799,0.000657963,0.000657963,0.000657963
50,6526.52,0.39318,0.53288,1.0092,0.91593,0.85611,0.92191,0.79869,0.54828,0.54253,1.01974,0.000645588,0.000645588,0.000645588
51,6658.73,0.38354,0.5238,1.00398,0.91547,0.85916,0.91563,0.8014,0.54547,0.54869,1.01848,0.000633115,0.000633115,0.000633115
52,6791.05,0.3877,0.51705,1.00527,0.89378,0.88262,0.9153,0.79244,0.56782,0.56823,1.03971,0.000620555,0.000620555,0.000620555
53,6922.67,0.38613,0.51478,1.00643,0.8978,0.87279,0.91764,0.79587,0.57028,0.56073,1.0497,0.000607916,0.000607916,0.000607916
54,7054.29,0.37386,0.49828,0.99828,0.9188,0.87795,0.91952,0.80316,0.54765,0.54398,1.03362,0.000595207,0.000595207,0.000595207
55,7184.67,0.37583,0.4955,0.99957,0.90991,0.87965,0.91958,0.80429,0.55506,0.54605,1.02611,0.000582435,0.000582435,0.000582435
56,7313.32,0.37785,0.49805,1.0008,0.91263,0.87956,0.9207,0.80888,0.54397,0.53044,1.02635,0.00056961,0.00056961,0.00056961
57,7441.87,0.36961,0.48457,0.99537,0.90325,0.86913,0.92019,0.81056,0.53321,0.54671,1.0088,0.000556742,0.000556742,0.000556742
58,7570.84,0.37065,0.48295,0.99657,0.9053,0.88785,0.92115,0.80705,0.54425,0.53611,1.02172,0.000543837,0.000543837,0.000543837
59,7699.87,0.37258,0.47507,0.99645,0.91938,0.88244,0.91802,0.80553,0.54521,0.53798,1.02054,0.000530906,0.000530906,0.000530906
60,7829.29,0.36657,0.4729,0.99544,0.92069,0.85529,0.91849,0.8007,0.54047,0.53714,1.0189,0.000517958,0.000517958,0.000517958
61,7961.06,0.36728,0.46843,0.99559,0.91886,0.87558,0.9204,0.80489,0.53938,0.5334,1.01792,0.000505,0.000505,0.000505
62,8093.75,0.36201,0.45911,0.98768,0.92832,0.86778,0.91579,0.80302,0.54267,0.53897,1.01304,0.000492042,0.000492042,0.000492042
63,8226.23,0.3573,0.45542,0.98575,0.93221,0.86934,0.92072,0.8054,0.54042,0.53452,1.01012,0.000479094,0.000479094,0.000479094
64,8361.59,0.35556,0.44913,0.98609,0.91875,0.88953,0.92522,0.81313,0.54132,0.5233,1.01102,0.000466163,0.000466163,0.000466163
65,8497.43,0.3552,0.44918,0.98766,0.92157,0.88394,0.92617,0.80717,0.54804,0.51936,1.02098,0.000453258,0.000453258,0.000453258
66,8633.08,0.3491,0.44432,0.98451,0.93783,0.87855,0.92397,0.80638,0.54627,0.50918,1.01896,0.00044039,0.00044039,0.00044039
